t,X1,X2,X3,X4
0,1,4,0.5,2.5
1,1.489213,3.759463,0.6302294,2.199814
2,1.601956,3.548841,0.7277571,2.047815
3,1.569075,3.348084,0.8002791,1.946048
4,1.491333,3.150201,0.8528173,1.848836
5,1.409645,2.953707,0.8889555,1.743802
6,1.339106,2.759241,0.9114228,1.632233
7,1.284322,2.568145,0.9223976,1.519332
8,1.245904,2.381902,0.9236799,1.410418
9,1.223132,2.201925,0.9167962,1.309781
10,1.215017,2.029503,0.9030703,1.220532
11,1.220711,1.865786,0.883672,1.144804
12,1.239629,1.7118,0.8596536,1.084024
13,1.27147,1.568461,0.8319791,1.039177
14,1.316183,1.436587,0.8015468,1.011027
15,1.373899,1.316904,0.7692073,1.00031
16,1.444832,1.210044,0.7357782,1.007867
17,1.529146,1.116536,0.7020532,1.034749
18,1.626763,1.036788,0.6688054,1.082255
19,1.737122,0.9710506,0.6367834,1.151903
20,1.858885,0.9193809,0.6066976,1.24529
21,1.989644,0.8815858,0.5791969,1.363834
22,2.125715,0.8571664,0.5548365,1.50836
23,2.262133,0.8452659,0.5340412,1.678584
24,2.392976,0.8446398,0.5170719,1.872564
25,2.512043,0.8536661,0.5040036,2.086307
26,2.613774,0.8704102,0.4947221,2.313695
27,2.694158,0.8927458,0.4889416,2.546877
28,2.751327,0.9185145,0.486241,2.777085
29,2.785665,0.9456923,0.4861111,2.995698
30,2.799449,0.9725294,0.4880038,3.195254
31,2.796206,0.9976402,0.4913765,3.370194
32,2.780011,1.020037,0.4957256,3.517186
33,2.754907,1.039112,0.5006094,3.635084
34,2.72451,1.054594,0.50566,3.724604
35,2.691815,1.066473,0.510586,3.787871
36,2.659143,1.074943,0.5151703,3.827936
37,2.628183,1.08033,0.5192625,3.848352
38,2.600075,1.083042,0.5227709,3.852828
39,2.575513,1.083524,0.5256523,3.844971
40,2.554844,1.08223,0.5279027,3.828122
41,2.538148,1.079594,0.5295484,3.805252
42,2.525309,1.076017,0.530638,3.778909
43,2.516074,1.071858,0.531235,3.751205
44,2.510095,1.067425,0.5314122,3.723829
45,2.506962,1.062973,0.5312464,3.698069
46,2.506235,1.058707,0.530814,3.674853
47,2.507462,1.054781,0.5301882,3.654791
48,2.5102,1.051305,0.5294362,3.638215
49,2.51403,1.048344,0.5286174,3.625227
50,2.518566,1.045929,0.5277824,3.615743
51,2.523466,1.04406,0.5269727,3.609533
52,2.528437,1.042713,0.52622,3.60626
53,2.53324,1.041845,0.5255474,3.605519
54,2.537687,1.041398,0.5249697,3.606865
55,2.541647,1.041309,0.5244942,3.609843
56,2.545032,1.041509,0.5241222,3.61401
57,2.547801,1.041931,0.5238499,3.618954
58,2.54995,1.04251,0.5236697,3.624305
59,2.551504,1.043188,0.5235711,3.629748
60,2.55251,1.043913,0.5235422,3.635024
